@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute hands-1 numeric
@attribute hands-2 numeric
@attribute hands-3 numeric
@attribute hands-4 numeric
@attribute hands-5 numeric
@attribute hands-6 numeric
@attribute hands-7 numeric
@attribute hands-8 numeric
@attribute hands-9 numeric
@attribute hands-10 numeric
@attribute hands-11 numeric
@attribute hands-12 numeric
@attribute hands-13 numeric
@attribute hands-14 numeric
@attribute hands-15 numeric
@attribute hands-16 numeric
@attribute hands-17 numeric
@attribute hands-18 numeric
@attribute hands-19 numeric
@attribute hands-20 numeric
@attribute hands-21 numeric
@attribute hands-22 numeric
@attribute hands-23 numeric
@attribute hands-24 numeric
@attribute hands-25 numeric
@attribute hands-26 numeric
@attribute hands-27 numeric
@attribute hands-28 numeric
@attribute hands-29 numeric
@attribute hands-30 numeric
@attribute hands-31 numeric
@attribute hands-32 numeric
@attribute hands-33 numeric
@attribute hands-34 numeric
@attribute hands-35 numeric
@attribute hands-36 numeric
@attribute hands-37 numeric
@attribute hands-38 numeric
@attribute hands-39 numeric
@attribute hands-40 numeric
@attribute hands-41 numeric
@attribute hands-42 numeric
@attribute hands-43 numeric
@attribute hands-44 numeric
@attribute hands-45 numeric
@attribute hands-46 numeric
@attribute hands-47 numeric
@attribute hands-48 numeric
@attribute hands-49 numeric
@attribute hands-50 numeric
@attribute hands-51 numeric
@attribute hands-52 numeric
@attribute hands-53 numeric
@attribute hands-54 numeric
@attribute hands-55 numeric
@attribute hands-56 numeric
@attribute hands-57 numeric
@attribute hands-58 numeric
@attribute hands-59 numeric
@attribute hands-60 numeric
@attribute hands-61 numeric
@attribute hands-62 numeric
@attribute hands-63 numeric
@attribute hands-64 numeric
@attribute hands-65 numeric
@attribute hands-66 numeric
@attribute hands-67 numeric
@attribute hands-68 numeric
@attribute hands-69 numeric
@attribute hands-70 numeric
@attribute hands-71 numeric
@attribute hands-72 numeric
@attribute hands-73 numeric
@attribute hands-74 numeric
@attribute hands-75 numeric
@attribute hands-76 numeric
@attribute hands-77 numeric
@attribute hands-78 numeric
@attribute hands-79 numeric
@attribute hands-80 numeric
@attribute hands-81 numeric
@attribute hands-82 numeric
@attribute hands-83 numeric
@attribute hands-84 numeric
@attribute hands-85 numeric
@attribute hands-86 numeric
@attribute hands-87 numeric
@attribute hands-88 numeric
@attribute hands-89 numeric
@attribute hands-90 numeric
@attribute hands-91 numeric
@attribute hands-92 numeric
@attribute hands-93 numeric
@attribute hands-94 numeric
@attribute hands-95 numeric
@attribute hands-96 numeric
@attribute hands-97 numeric
@attribute hands-98 numeric
@attribute hands-99 numeric
@attribute hands-100 numeric
@attribute hands-101 numeric
@attribute hands-102 numeric
@attribute hands-103 numeric
@attribute hands-104 numeric
@attribute hands-105 numeric
@attribute hands-106 numeric
@attribute hands-107 numeric
@attribute hands-108 numeric
@attribute hands-109 numeric
@attribute hands-110 numeric
@attribute hands-111 numeric
@attribute hands-112 numeric
@attribute hands-113 numeric
@attribute hands-114 numeric
@attribute hands-115 numeric
@attribute hands-116 numeric
@attribute hands-117 numeric
@attribute hands-118 numeric
@attribute hands-119 numeric
@attribute hands-120 numeric
@attribute hands-121 numeric
@attribute hands-122 numeric
@attribute hands-123 numeric
@attribute hands-124 numeric
@attribute hands-125 numeric
@attribute hands-126 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric

@data
1,'2021/12/08 18:14:29:635',1,0.203064,0.703805,0,0.263162,0.695551,-0.023136,0.319113,0.670373,-0.036828,0.365713,0.658424,-0.0518,0.40693,0.662915,-0.067659,0.284913,0.51184,-0.013958,0.322466,0.433844,-0.032902,0.342405,0.386333,-0.048054,0.358072,0.34563,-0.059315,0.248131,0.490215,-0.022346,0.272102,0.394015,-0.038456,0.286461,0.333492,-0.053394,0.296414,0.281628,-0.065682,0.210759,0.494812,-0.035581,0.205608,0.400962,-0.056795,0.204001,0.341827,-0.073022,0.204953,0.291871,-0.083491,0.173689,0.519441,-0.052455,0.156509,0.453755,-0.073562,0.145379,0.41039,-0.085842,0.138809,0.369221,-0.09354,0.7888,0.704909,0,0.720454,0.692427,-0.01734,0.66074,0.667005,-0.037929,0.611734,0.661401,-0.061539,0.569216,0.677675,-0.086196,0.694097,0.503138,-0.018823,0.657633,0.418526,-0.042621,0.63611,0.366606,-0.061271,0.61945,0.319161,-0.07522,0.735675,0.479505,-0.032826,0.71529,0.376406,-0.053058,0.703638,0.313838,-0.068959,0.695839,0.258889,-0.082662,0.776916,0.48176,-0.050431,0.779516,0.386249,-0.074828,0.780502,0.324782,-0.091004,0.77967,0.26978,-0.10203,0.815956,0.505053,-0.07066,0.83759,0.437321,-0.092221,0.850457,0.389705,-0.10269,0.859468,0.342683,-0.110077,1,0,0,0,0,0,0,0,0,0
2,'2021/12/08 18:14:29:679',1,0.200413,0.704442,0,0.26056,0.696475,-0.023495,0.31722,0.669988,-0.038394,0.365078,0.656825,-0.05469,0.407202,0.662848,-0.071923,0.285414,0.511512,-0.01544,0.322639,0.432522,-0.035157,0.34263,0.384656,-0.05099,0.358427,0.343356,-0.062828,0.24807,0.489602,-0.023978,0.271591,0.393673,-0.040775,0.285715,0.333961,-0.05636,0.29521,0.282142,-0.069135,0.210117,0.493908,-0.037324,0.204472,0.400301,-0.059077,0.20278,0.341511,-0.07597,0.203143,0.291503,-0.086986,0.172697,0.518091,-0.05425,0.155045,0.452856,-0.075424,0.143685,0.409646,-0.087926,0.13646,0.368455,-0.095951,0.789482,0.702985,0,0.721178,0.690557,-0.017409,0.660859,0.665641,-0.037857,0.612208,0.65961,-0.061321,0.570175,0.676798,-0.085892,0.692772,0.501188,-0.018994,0.656089,0.416033,-0.04281,0.634649,0.365046,-0.061451,0.617666,0.318783,-0.075324,0.73444,0.477645,-0.032984,0.714515,0.374352,-0.053276,0.703082,0.312679,-0.069245,0.694939,0.258981,-0.082928,0.776,0.480153,-0.050585,0.778917,0.384679,-0.074985,0.779781,0.323157,-0.090975,0.778271,0.268587,-0.101901,0.815379,0.503414,-0.070774,0.836941,0.434785,-0.092253,0.850238,0.386093,-0.102492,0.859274,0.338656,-0.109715,1,0,0,0,0,0,0,0,0,0
3,'2021/12/08 18:14:29:726',1,0.20284,0.703385,0,0.262334,0.693548,-0.022794,0.317154,0.667865,-0.036911,0.363248,0.65498,-0.052448,0.404905,0.659843,-0.068914,0.284724,0.511387,-0.014715,0.321874,0.432945,-0.033904,0.341252,0.385091,-0.049318,0.356282,0.344182,-0.060852,0.247367,0.489147,-0.023407,0.270824,0.392546,-0.039566,0.284152,0.332197,-0.055061,0.293021,0.28045,-0.067939,0.209563,0.493045,-0.036821,0.204647,0.39896,-0.05827,0.202702,0.340417,-0.075584,0.202927,0.291029,-0.086961,0.171993,0.51709,-0.053698,0.153709,0.45209,-0.074851,0.141803,0.409128,-0.087601,0.134303,0.368839,-0.095837,0.788737,0.703893,0,0.720905,0.69062,-0.018453,0.660384,0.665544,-0.03933,0.611383,0.658904,-0.063099,0.569499,0.676173,-0.08785,0.691982,0.50093,-0.018982,0.655412,0.415827,-0.042775,0.634129,0.364188,-0.061477,0.617626,0.317028,-0.075534,0.733265,0.476931,-0.032708,0.712925,0.37337,-0.052924,0.701669,0.311653,-0.069137,0.694136,0.257623,-0.083079,0.774583,0.47925,-0.050228,0.77728,0.383542,-0.074693,0.778612,0.322628,-0.091126,0.777947,0.268244,-0.102345,0.813905,0.502604,-0.070471,0.835163,0.434016,-0.091963,0.848644,0.385909,-0.102548,0.858109,0.338385,-0.110066,1,0,0,0,0,0,0,0,0,0
4,'2021/12/08 18:14:29:770',1,0.202445,0.70276,0,0.261775,0.694185,-0.022907,0.317504,0.668941,-0.037574,0.364794,0.657197,-0.053713,0.407186,0.662677,-0.070745,0.284416,0.510457,-0.015024,0.32159,0.431489,-0.034802,0.341947,0.383797,-0.050815,0.358105,0.342691,-0.062805,0.247034,0.488745,-0.023883,0.270612,0.393559,-0.041089,0.285181,0.335074,-0.057031,0.295192,0.284014,-0.06997,0.209129,0.493044,-0.037477,0.202926,0.399552,-0.059371,0.201058,0.341476,-0.076464,0.201689,0.291922,-0.087628,0.171797,0.517388,-0.054589,0.154529,0.452271,-0.075751,0.14348,0.409142,-0.088368,0.136629,0.368201,-0.096523,0.788341,0.702815,0,0.720984,0.690606,-0.018647,0.660353,0.665279,-0.039472,0.611052,0.658467,-0.063141,0.568926,0.67588,-0.087792,0.691946,0.501428,-0.019099,0.65547,0.415983,-0.042859,0.634265,0.364441,-0.061541,0.617946,0.317099,-0.075551,0.733266,0.477119,-0.032492,0.712586,0.373712,-0.052609,0.701386,0.31193,-0.068751,0.694093,0.25735,-0.082618,0.774854,0.478893,-0.049674,0.777184,0.383351,-0.073951,0.778911,0.322753,-0.090238,0.778925,0.268652,-0.101343,0.814714,0.501616,-0.069607,0.835825,0.433361,-0.090928,0.849414,0.385637,-0.101461,0.859206,0.338575,-0.108914,1,0,0,0,0,0,0,0,0,0
5,'2021/12/08 18:14:29:822',1,0.197272,0.705929,0,0.256995,0.696454,-0.023751,0.313383,0.668602,-0.038258,0.361202,0.654397,-0.053997,0.403131,0.660235,-0.070731,0.281621,0.511805,-0.015557,0.318228,0.432592,-0.035133,0.338108,0.384151,-0.050706,0.353828,0.342529,-0.06232,0.244842,0.489929,-0.023844,0.26821,0.393083,-0.040228,0.282349,0.332205,-0.055665,0.291509,0.279785,-0.068426,0.207175,0.494108,-0.036996,0.202644,0.400804,-0.058641,0.200733,0.342187,-0.07586,0.200536,0.29221,-0.087089,0.169517,0.518352,-0.053756,0.152267,0.453438,-0.075114,0.140665,0.410911,-0.088037,0.133027,0.36981,-0.096313,0.786911,0.703738,0,0.719484,0.690266,-0.018285,0.659272,0.664144,-0.039158,0.610125,0.657371,-0.062967,0.567767,0.675185,-0.087784,0.689684,0.499941,-0.018967,0.653994,0.413525,-0.042708,0.632818,0.361982,-0.061252,0.61633,0.315329,-0.07517,0.731624,0.476012,-0.032734,0.71167,0.371846,-0.052764,0.700368,0.310528,-0.068601,0.692705,0.25659,-0.082257,0.773566,0.478326,-0.050314,0.776791,0.382163,-0.074452,0.778154,0.321133,-0.090583,0.777763,0.266522,-0.101659,0.813477,0.501879,-0.07063,0.834791,0.433782,-0.091774,0.847973,0.386502,-0.102086,0.85752,0.339773,-0.109462,1,0,0,0,0,0,0,0,0,0
6,'2021/12/08 18:14:29:873',1,0.201678,0.703366,0,0.26143,0.693701,-0.023488,0.315656,0.666682,-0.037423,0.361298,0.652929,-0.052671,0.402743,0.658602,-0.068877,0.281467,0.509408,-0.014692,0.318719,0.430815,-0.03384,0.338082,0.383255,-0.048898,0.35305,0.342356,-0.060112,0.243898,0.487618,-0.02294,0.266964,0.39125,-0.03903,0.280201,0.331023,-0.05351,0.289183,0.279562,-0.065436,0.206093,0.492371,-0.036088,0.200301,0.398689,-0.057458,0.19823,0.339889,-0.073388,0.198591,0.290349,-0.08355,0.169049,0.517644,-0.052913,0.150531,0.452409,-0.074335,0.138511,0.409372,-0.086538,0.130957,0.368598,-0.09403,0.787889,0.700633,0,0.719248,0.688134,-0.018122,0.658562,0.66335,-0.038991,0.609469,0.657298,-0.062778,0.567793,0.675032,-0.087611,0.690492,0.500345,-0.019951,0.653987,0.41444,-0.044137,0.632606,0.362786,-0.062995,0.615932,0.315474,-0.077026,0.732137,0.476414,-0.033654,0.712452,0.372549,-0.054209,0.701081,0.3107,-0.070105,0.693024,0.256365,-0.083735,0.773387,0.478313,-0.051035,0.776993,0.382635,-0.075487,0.777885,0.321484,-0.091277,0.776794,0.267104,-0.102074,0.812375,0.501024,-0.071129,0.834231,0.432705,-0.092524,0.847484,0.385226,-0.10263,0.856561,0.338765,-0.109771,1,0,0,0,0,0,0,0,0,0
7,'2021/12/08 18:14:29:914',1,0.196307,0.701983,0,0.2568,0.693979,-0.024421,0.313682,0.66765,-0.03939,0.360881,0.654378,-0.055527,0.403184,0.659342,-0.072586,0.281226,0.50886,-0.01608,0.317062,0.429634,-0.036042,0.337221,0.381673,-0.052083,0.352953,0.340511,-0.064059,0.243575,0.486993,-0.024229,0.266944,0.391451,-0.041407,0.281376,0.332605,-0.057333,0.290543,0.281714,-0.070277,0.205323,0.491789,-0.03728,0.198908,0.398503,-0.059302,0.196548,0.340293,-0.076356,0.196435,0.291082,-0.087442,0.167494,0.517038,-0.053987,0.149906,0.451589,-0.075367,0.138817,0.40885,-0.088047,0.131832,0.368171,-0.096163,0.7867,0.702261,0,0.718779,0.690246,-0.018839,0.658801,0.665151,-0.040071,0.609639,0.65847,-0.064144,0.567687,0.67546,-0.089347,0.689462,0.502497,-0.020744,0.653339,0.417929,-0.04523,0.632544,0.365545,-0.064495,0.616516,0.317049,-0.078924,0.731328,0.477486,-0.034305,0.711789,0.374152,-0.05513,0.700893,0.312143,-0.071583,0.693189,0.257402,-0.085704,0.773014,0.478713,-0.051568,0.776558,0.382741,-0.076481,0.777776,0.321338,-0.093042,0.776859,0.266328,-0.104405,0.812503,0.501578,-0.071565,0.834366,0.433421,-0.093356,0.848311,0.385921,-0.103967,0.858041,0.339182,-0.111536,1,0,0,0,0,0,0,0,0,0
8,'2021/12/08 18:14:29:967',1,0.199658,0.700409,0,0.259384,0.691398,-0.023235,0.314619,0.666837,-0.0369,0.360445,0.654052,-0.051863,0.400738,0.657326,-0.067687,0.28099,0.507972,-0.013695,0.318026,0.429959,-0.032322,0.337478,0.382328,-0.047221,0.352147,0.341653,-0.05834,0.243353,0.485953,-0.021769,0.266904,0.390043,-0.03755,0.280394,0.329846,-0.052205,0.28887,0.278311,-0.064253,0.205355,0.490426,-0.034673,0.199487,0.396804,-0.055819,0.196734,0.338787,-0.071793,0.196123,0.290511,-0.08193,0.168216,0.515377,-0.051198,0.149482,0.449876,-0.072389,0.137565,0.407021,-0.084523,0.129989,0.367153,-0.091939,0.786335,0.700141,0,0.718806,0.689131,-0.018209,0.65879,0.664446,-0.039152,0.609367,0.658652,-0.063004,0.566898,0.676471,-0.088018,0.69045,0.503424,-0.020828,0.654303,0.41886,-0.045182,0.633365,0.36659,-0.064138,0.617048,0.318277,-0.07832,0.731898,0.478875,-0.034595,0.71222,0.375479,-0.055442,0.700977,0.313309,-0.071414,0.692794,0.258485,-0.085157,0.773118,0.479849,-0.051942,0.776813,0.383808,-0.076825,0.778071,0.322198,-0.092861,0.777002,0.267097,-0.10383,0.812104,0.502044,-0.07195,0.834341,0.433727,-0.093674,0.848237,0.38607,-0.104006,0.85776,0.339274,-0.111347,1,0,0,0,0,0,0,0,0,0
9,'2021/12/08 18:14:30:030',1,0.197949,0.702739,0,0.258461,0.694244,-0.022826,0.315572,0.668616,-0.03698,0.362462,0.655443,-0.052564,0.403686,0.65997,-0.069008,0.280152,0.509506,-0.013767,0.316781,0.432648,-0.033238,0.336714,0.385878,-0.049047,0.352879,0.344991,-0.060809,0.242851,0.488045,-0.022527,0.26605,0.393322,-0.039226,0.28027,0.334974,-0.054903,0.289822,0.284188,-0.067693,0.205137,0.492565,-0.03614,0.199281,0.399875,-0.057786,0.197286,0.342095,-0.074772,0.197847,0.292913,-0.085833,0.167944,0.517187,-0.053305,0.15025,0.452338,-0.074382,0.139117,0.409235,-0.08702,0.132373,0.368122,-0.095165,0.786049,0.697801,0,0.719002,0.688074,-0.018803,0.659795,0.664955,-0.040451,0.611014,0.660115,-0.0649,0.568542,0.678336,-0.090559,0.691692,0.504317,-0.023288,0.655541,0.420192,-0.048098,0.634417,0.367702,-0.067266,0.617946,0.318986,-0.081634,0.7332,0.479421,-0.036898,0.712893,0.375773,-0.058181,0.701194,0.313309,-0.074461,0.692889,0.258288,-0.088494,0.774695,0.480048,-0.05389,0.777387,0.383935,-0.07899,0.77851,0.322694,-0.095133,0.777595,0.267778,-0.106249,0.814091,0.501683,-0.073528,0.835485,0.433249,-0.095469,0.849287,0.385406,-0.105934,0.858928,0.33833,-0.113409,1,0,0,0,0,0,0,0,0,0
10,'2021/12/08 18:14:30:067',1,0.199339,0.702092,0,0.258598,0.692079,-0.023535,0.313546,0.666334,-0.037995,0.359012,0.652879,-0.053691,0.40018,0.656411,-0.070217,0.280129,0.509083,-0.015813,0.316722,0.43136,-0.035448,0.336504,0.383938,-0.051126,0.352061,0.342874,-0.0628,0.242684,0.487656,-0.024241,0.265352,0.391841,-0.041171,0.279069,0.331704,-0.057113,0.288384,0.279715,-0.070173,0.205102,0.492287,-0.037385,0.198886,0.398996,-0.059339,0.196395,0.3411,-0.076748,0.196278,0.292027,-0.088069,0.168007,0.516921,-0.054049,0.149897,0.451916,-0.075519,0.138134,0.408419,-0.08847,0.130695,0.367263,-0.096768,0.786687,0.700669,0,0.719789,0.688656,-0.018823,0.660701,0.664882,-0.040509,0.611882,0.66051,-0.065084,0.569257,0.6793,-0.090817,0.691525,0.503009,-0.021855,0.655077,0.41743,-0.046144,0.633624,0.365191,-0.065145,0.6169,0.317314,-0.079445,0.732927,0.478859,-0.035497,0.712512,0.374962,-0.056069,0.701057,0.313099,-0.072136,0.692894,0.258428,-0.086047,0.774437,0.480103,-0.052721,0.777157,0.383642,-0.07718,0.778245,0.322143,-0.093501,0.777373,0.267067,-0.104859,0.813771,0.502195,-0.072648,0.835434,0.434069,-0.09402,0.84918,0.386875,-0.104462,0.858912,0.340549,-0.112058,1,0,0,0,0,0,0,0,0,0
